timestamp,gt_x,gt_y,kf_x,kf_y,ekf_x,ekf_y,pf_x,pf_y
1455.771000,4.954930,-0.036107,8.540184,-1.020584,4.896450,0.216003,4.916734,-0.095921
1455.971000,4.954331,-0.076726,8.572910,-1.039805,4.894098,0.147652,4.917046,-0.154458
1456.171000,4.953188,-0.118969,8.601615,-1.041852,4.892774,0.112109,4.893872,-0.164686
1456.371000,4.952065,-0.150490,8.613372,-1.038702,4.891977,0.090192,4.907018,-0.211251
1456.571000,4.950848,-0.197832,8.621646,-1.036690,4.891664,0.055369,4.910115,-0.258680
1456.771000,4.949859,-0.231989,8.633706,-1.037989,4.890340,0.020977,4.917778,-0.309064
1456.971000,4.948135,-0.272447,8.654327,-1.038766,4.887991,-0.046023,4.894176,-0.323418
1457.171000,4.946434,-0.301910,8.664104,-1.038132,4.886942,-0.067063,4.915082,-0.373932
1457.371000,4.944170,-0.340633,8.683395,-1.037643,4.886011,-0.101446,4.917754,-0.405531
1457.571000,4.941162,-0.394160,8.695112,-1.037361,4.884770,-0.134819,4.906580,-0.440584
1457.771000,4.938929,-0.429700,8.709151,-1.041353,4.883627,-0.171952,4.907308,-0.497809
1457.971000,4.936476,-0.465955,8.723412,-1.040085,4.882552,-0.209241,4.901298,-0.509350
1458.171000,4.933404,-0.509185,8.749945,-1.040769,4.879674,-0.283219,4.883104,-0.552857
1458.371000,4.930607,-0.550668,8.745639,-1.030803,4.878387,-0.320496,4.874462,-0.587553
1458.571000,4.927963,-0.593361,8.758610,-1.032863,4.877616,-0.357868,4.864996,-0.628623
1458.771000,4.925877,-0.644861,8.764496,-1.032438,4.876920,-0.393848,4.871388,-0.686406
1458.971000,4.925013,-0.666249,8.777251,-1.034487,4.875881,-0.409867,4.871879,-0.708765
1459.171000,4.923473,-0.701766,8.782871,-1.034553,4.874292,-0.443316,4.872653,-0.758749
1459.371000,4.921579,-0.744264,8.806167,-1.041391,4.871246,-0.515341,4.860670,-0.790435
1459.571000,4.920029,-0.776892,8.821144,-1.039651,4.869447,-0.542802,4.857776,-0.790606
1459.771000,4.918677,-0.805160,8.833675,-1.036464,4.867990,-0.563874,4.852515,-0.842731
1459.971000,4.916460,-0.854106,8.839161,-1.037273,4.866400,-0.599260,4.859302,-0.887103
1460.171000,4.915056,-0.888588,8.849533,-1.037272,4.865187,-0.634604,4.849465,-0.929899
1460.371000,4.913607,-0.928330,8.880982,-1.039950,4.862117,-0.706769,4.867450,-0.979187
1460.571000,4.911960,-0.970450,8.880338,-1.045199,4.860060,-0.741089,4.862859,-0.992780
1460.771000,4.910159,-1.000242,8.893444,-1.043954,4.858519,-0.759432,4.846229,-1.028093
1460.971000,4.906269,-1.049378,8.898693,-1.042966,4.857480,-0.791424,4.852890,-1.062014
1461.171000,4.904205,-1.083878,8.939201,-1.029172,4.856874,-0.827246,4.833282,-1.106005
1461.371000,4.902869,-1.119964,9.003273,-1.026811,4.856501,-0.861002,4.827981,-1.153933
1461.571000,4.901865,-1.160498,9.035952,-1.027037,4.854921,-0.930417,4.838779,-1.199893
1461.771000,4.901386,-1.202231,9.048908,-1.031742,4.853635,-0.967845,4.837917,-1.220868
1461.971000,4.901170,-1.245045,9.062240,-1.030502,4.852520,-1.005237,4.837721,-1.273293
1462.171000,4.901089,-1.296329,9.073739,-1.033216,4.851219,-1.038670,4.825990,-1.321267
1462.371000,4.901048,-1.330833,9.088714,-1.033805,4.849878,-1.074087,4.831456,-1.359136
1462.571000,4.901006,-1.369254,9.101008,-1.035352,4.848567,-1.111452,4.850693,-1.383424
1462.771000,4.900855,-1.412136,9.125395,-1.032250,4.846050,-1.184323,4.841635,-1.419124
1462.971000,4.899841,-1.453159,9.104716,-1.056300,4.844175,-1.219596,4.848735,-1.470831
1463.171000,4.898333,-1.495523,9.119376,-1.050893,4.842776,-1.254839,4.848827,-1.510577
1463.371000,4.896089,-1.545146,9.130463,-1.053548,4.840687,-1.288220,4.860157,-1.529122
1463.571000,4.894101,-1.580643,9.137943,-1.055448,4.839112,-1.325583,4.847792,-1.589989
1463.771000,4.891642,-1.621120,9.174207,-1.052286,4.837037,-1.396629,4.844994,-1.639635
1463.971000,4.890003,-1.651256,9.175387,-1.043742,4.836558,-1.418717,4.845303,-1.656385
1464.171000,4.888563,-1.689823,9.252117,-1.040682,4.835123,-1.454880,4.855404,-1.677746
1464.371000,4.886879,-1.733424,9.299671,-1.044479,4.833846,-1.476096,4.843831,-1.720385
1464.571000,4.885376,-1.769836,9.274430,-1.042616,4.832298,-1.513510,4.845199,-1.753447
1464.771000,4.883940,-1.804360,9.303470,-1.044217,4.830732,-1.547943,4.840644,-1.795316
1464.971000,4.883002,-1.846716,9.305313,-1.037117,4.830165,-1.618302,4.839610,-1.845435
1465.171000,4.882821,-1.887953,9.327130,-1.039658,4.829645,-1.651867,4.841001,-1.898890
1465.371000,4.883315,-1.929622,9.342951,-1.037320,4.828899,-1.685369,4.868880,-1.897949
1465.571000,4.884720,-1.982456,9.358889,-1.036797,4.828000,-1.720510,4.865955,-1.958409
1465.771000,4.885992,-2.018866,9.379660,-1.036837,4.827348,-1.756521,4.852121,-1.997022
1465.971000,4.887631,-2.055712,9.406387,-1.036530,4.826960,-1.791571,4.863562,-2.030263
1466.171000,4.889370,-2.097194,9.422336,-1.020312,4.826561,-1.863222,4.867547,-2.066498
1466.371000,4.890808,-2.129942,9.434700,-1.025329,4.826016,-1.888710,4.870006,-2.113594
1466.571000,4.892640,-2.170596,9.406634,-1.027351,4.825725,-1.923801,4.849271,-2.143384
1466.771000,4.895047,-2.220555,9.419529,-1.025439,4.826218,-1.958204,4.851506,-2.197708
1466.971000,4.897574,-2.256785,9.434104,-1.021810,4.827200,-1.993552,4.903009,-2.205095
1467.171000,4.901168,-2.296063,9.520844,-1.035731,4.829091,-2.063693,4.867860,-2.282869
1467.371000,4.904865,-2.337977,9.532439,-1.029740,4.831833,-2.098645,4.862785,-2.331558
1467.571000,4.908888,-2.380887,9.549468,-1.009721,4.835256,-2.133591,4.889346,-2.352186
1467.771000,4.916133,-2.436368,9.557997,-1.006756,4.838357,-2.169041,4.897260,-2.400274
1467.971000,4.921842,-2.472247,9.563997,-1.004367,4.843451,-2.206145,4.886625,-2.444989
1468.171000,4.927868,-2.508389,9.641617,-0.976176,4.848837,-2.241377,4.924096,-2.464589
1468.371000,4.936223,-2.550735,9.668867,-0.977654,4.861723,-2.311566,4.919975,-2.530267
1468.571000,4.944462,-2.588984,9.684031,-0.963920,4.867267,-2.339261,4.940905,-2.545288
1468.771000,4.952357,-2.623836,9.631441,-0.944011,4.873522,-2.372066,4.913178,-2.598286
1468.971000,4.960398,-2.660881,9.616261,-0.915364,4.878159,-2.400789,4.932687,-2.631405
1469.171000,4.964693,-2.678621,9.689013,-0.925044,4.883516,-2.418968,4.939911,-2.639687
1469.371000,4.966964,-2.687451,9.720346,-0.928591,4.885695,-2.425739,4.926912,-2.672234
1469.571000,4.969996,-2.698497,9.695288,-0.902357,4.894650,-2.458036,4.961617,-2.662886
1469.771000,4.976027,-2.719219,9.698132,-0.889162,4.900013,-2.479054,4.972279,-2.683868
1469.971000,4.981106,-2.735709,9.729771,-0.900334,4.902875,-2.496760,4.951319,-2.728304
1470.171000,4.984776,-2.747064,9.766333,-0.910096,4.905543,-2.507108,4.970640,-2.726285
1470.371000,4.988269,-2.757981,9.777307,-0.903709,4.909903,-2.521569,4.964747,-2.744751
1470.571000,4.990848,-2.765698,9.751226,-0.875554,4.912841,-2.530377,4.963721,-2.736342
1470.771000,4.992059,-2.769105,9.746569,-0.877139,4.915244,-2.536775,4.967539,-2.742327
1470.971000,4.993359,-2.772687,9.731878,-0.878409,4.917415,-2.543125,4.964433,-2.765184
1471.171000,4.997271,-2.783258,9.726459,-0.864469,4.920317,-2.550429,4.972830,-2.752970
1471.371000,4.997719,-2.784108,9.741605,-0.852637,4.921616,-2.554186,4.979208,-2.763509
1471.571000,4.998966,-2.787061,9.767373,-0.844057,4.923591,-2.560690,5.001175,-2.757261
1471.771000,5.000514,-2.790396,9.745869,-0.838061,4.925063,-2.569742,4.972156,-2.770550
1471.971000,5.001353,-2.792819,9.725608,-0.835335,4.925122,-2.575561,4.979269,-2.765452
1472.171000,5.004431,-2.800511,9.705377,-0.824740,4.926704,-2.579636,4.997486,-2.756073
1472.371000,5.006290,-2.804790,9.699942,-0.814133,4.928804,-2.584878,4.998584,-2.739764
1472.571000,5.006893,-2.806632,9.694514,-0.806739,4.928911,-2.584862,4.989555,-2.774935
1472.771000,5.007192,-2.807733,9.731488,-0.848248,4.928867,-2.586129,4.997825,-2.783286
1472.971000,5.007232,-2.807924,9.744669,-0.842393,4.928738,-2.589770,4.995105,-2.775198
1473.171000,5.006113,-2.804585,9.763488,-0.855661,4.926505,-2.593535,4.988020,-2.791769
1473.371000,5.004332,-2.801157,9.763316,-0.861310,4.924600,-2.597523,5.000243,-2.757545
1473.571000,5.003815,-2.797467,9.758358,-0.873664,4.923242,-2.601140,4.990497,-2.756018
1473.771000,5.003815,-2.796688,9.754749,-0.881794,4.922608,-2.603722,4.978051,-2.764147
1473.971000,5.003794,-2.796868,9.742042,-0.786546,4.921798,-2.604317,4.996756,-2.750392
1474.171000,5.002781,-2.799119,9.740089,-0.786356,4.921544,-2.604209,4.994975,-2.765146
1474.371000,4.999171,-2.805422,9.733592,-0.776399,4.923269,-2.604578,4.969847,-2.791212
1474.571000,4.996489,-2.811814,9.727920,-0.761431,4.926927,-2.605834,4.967345,-2.794294
1474.771000,4.997460,-2.818482,9.718899,-0.745937,4.932675,-2.608376,4.995354,-2.761476
1474.971000,4.999438,-2.823366,9.712820,-0.738394,4.940502,-2.612070,4.972868,-2.813597
1475.171000,4.999992,-2.822887,9.733349,-0.772956,4.945682,-2.616931,4.987083,-2.794597
1475.371000,5.003131,-2.822471,9.731225,-0.764238,4.949747,-2.618845,4.982304,-2.769645
1475.571000,5.005209,-2.821499,9.726127,-0.769266,4.951926,-2.619919,4.992436,-2.800099
1475.771000,5.006020,-2.819824,9.722841,-0.772917,4.952150,-2.620096,4.997925,-2.780096
1475.971000,5.006025,-2.820163,9.717544,-0.776257,4.951716,-2.619467,4.969311,-2.783282
1476.171000,5.006123,-2.820885,9.715942,-0.781065,4.952739,-2.619522,4.972522,-2.768443
