timestamp,gt_x,gt_y,kf_x,kf_y,ekf_x,ekf_y,pf_x,pf_y
1444.371000,5.468025,1.840998,-15.552591,4.919193,5.192950,1.517401,4.337543,2.831913
1444.671000,5.483688,1.774857,-15.637871,4.928972,5.205619,1.448831,4.408374,2.726976
1444.771000,5.489930,1.751983,-15.659302,4.915606,5.209817,1.414218,4.311353,2.788387
1444.971000,5.501155,1.707923,-15.681089,4.900391,5.212492,1.379221,4.369634,2.687932
1445.171000,5.512806,1.653490,-15.704142,4.879988,5.213884,1.344238,4.307863,2.715983
1445.371000,5.518088,1.619012,-15.723906,4.861218,5.216477,1.308971,4.355705,2.647349
1445.671000,5.523538,1.564117,-15.772560,4.837210,5.219314,1.240710,4.387012,2.567736
1445.971000,5.527102,1.499712,-15.817370,4.823242,5.220124,1.170464,4.498762,2.373968
1446.171000,5.527224,1.456945,-15.834829,4.830099,5.218546,1.134966,4.428325,2.411611
1446.371000,5.524846,1.406577,-15.861757,4.842999,5.216644,1.099839,4.499056,2.300000
1446.571000,5.522390,1.373597,-15.886851,4.891229,5.214162,1.064784,4.447273,2.317814
1446.871000,5.518838,1.315828,-15.905986,4.982137,5.208103,0.996598,4.539104,2.169154
1447.171000,5.518134,1.248371,-15.952762,5.037921,5.203440,0.925500,4.608491,2.000336
1447.371000,5.518284,1.206102,-15.974011,5.044597,5.200950,0.889971,4.687376,1.895905
1447.571000,5.516975,1.152952,-15.992187,5.063426,5.197957,0.854619,4.841230,1.700299
1447.771000,5.514110,1.115481,-16.014164,5.061427,5.193811,0.817435,4.796498,1.699789
1448.071000,5.504452,1.051306,-16.081805,5.036503,5.182092,0.745802,4.584590,1.855493
1448.171000,5.499094,1.031664,-16.128825,4.997173,5.174920,0.711586,4.510748,1.886383
1448.371000,5.488620,0.996472,-16.136208,4.968829,5.165403,0.677324,4.579745,1.773458
1448.571000,5.471978,0.950337,-16.168117,4.934285,5.152807,0.642739,4.623650,1.678618
1448.771000,5.459825,0.918130,-16.173049,4.816033,5.139256,0.607831,4.649409,1.584884
1449.071000,5.441601,0.862644,-16.226753,4.848019,5.116796,0.539099,4.565102,1.627728
1449.371000,5.423516,0.800671,-16.280172,4.788835,5.096558,0.470467,4.804708,1.272618
1449.571000,5.412170,0.758546,-16.302332,4.759825,5.085444,0.435079,4.737261,1.312334
1449.771000,5.399423,0.707157,-16.329321,4.756269,5.074809,0.401463,4.997237,0.997846
1449.971000,5.390250,0.670996,-16.341862,4.747003,5.063293,0.366071,5.007740,0.936297
1450.271000,5.370881,0.605561,-16.378793,4.727992,5.036880,0.297341,4.842809,1.040283
1450.571000,5.349110,0.551699,-16.426976,4.733182,5.010789,0.230553,4.903722,0.880936
1450.771000,5.334346,0.521364,-16.449641,4.733873,4.994696,0.198434,4.763058,0.978080
1450.971000,5.315387,0.482605,-16.471470,4.766315,4.978872,0.165733,4.742401,0.939673
1451.171000,5.303288,0.454566,-16.496578,4.789648,4.963935,0.131317,4.739440,0.895029
1451.471000,5.284816,0.399566,-16.540458,4.833767,4.936258,0.062633,4.800703,0.796829
1451.571000,5.279853,0.376817,-16.547942,4.856087,4.924975,0.028559,4.696753,0.847184
1451.771000,5.273018,0.332859,-16.568908,4.889622,4.917111,-0.008259,4.651026,0.826373
1451.971000,5.268695,0.277988,-16.582772,4.939412,4.911766,-0.042713,5.229899,0.205670
1452.171000,5.268898,0.240265,-16.603165,4.990565,4.908505,-0.079361,5.218738,0.188116
1452.471000,5.272752,0.184007,-16.676614,4.985843,4.901610,-0.146955,5.233318,0.144694
1452.771000,5.279692,0.125572,-16.712419,5.085247,4.899424,-0.214814,5.242686,0.037503
1452.971000,5.284609,0.086456,-16.734057,5.072680,4.899926,-0.248844,5.246860,0.017693
1453.171000,5.288386,0.035832,-16.752914,5.138188,4.899677,-0.282758,5.259140,-0.042106
1453.371000,5.288632,-0.000334,-16.776701,5.197574,4.897564,-0.317757,5.271743,-0.111264
1453.671000,5.286149,-0.060178,-16.826382,5.211934,4.890527,-0.389411,5.234370,-0.091032
1453.971000,5.281973,-0.124025,-16.879100,5.206136,4.884661,-0.459558,5.248887,-0.214252
1454.171000,5.279004,-0.165701,-16.895610,5.203769,4.881485,-0.496660,5.222598,-0.230119
1454.371000,5.275308,-0.215738,-16.929271,5.217955,4.878256,-0.533774,5.217431,-0.264495
